cid,pid,target.X,target.Y,target.Z
38,6,1,1.49,3.5
39,6,0,2.49,3.5
40,6,-1,0.49,1.5
41,6,0,2.49,2.5
42,6,-1,1.49,2.5
43,6,1,0.49,3.5
44,6,-1,2.49,2.5
45,6,1,1.49,2.5
46,6,0,1.49,2.5
47,6,-1,1.49,2.5
48,6,1,0.49,1.5
49,6,1,0.49,3.5
50,6,0,1.49,3.5
51,6,1,1.49,2.5
52,6,1,2.49,2.5
53,6,-1,2.49,1.5
54,6,1,1.49,2.5
55,6,0,2.49,1.5
56,6,0,2.49,3.5
57,6,-1,1.49,2.5
58,6,-1,2.49,3.5
59,6,0,2.49,3.5
60,6,1,1.49,1.5
61,6,-1,0.49,1.5
62,6,1,2.49,3.5
63,6,-1,2.49,3.5
64,6,1,0.49,3.5
65,6,1,0.49,2.5
66,6,1,2.49,1.5
67,6,1,1.49,3.5
68,6,0,1.49,2.5
69,6,0,0.49,1.5
70,6,-1,0.49,3.5
71,6,0,1.49,1.5
72,6,1,0.49,3.5
73,6,-1,0.49,1.5
74,6,1,2.49,1.5
75,6,-1,1.49,1.5
76,6,0,1.49,1.5
77,6,1,2.49,2.5
78,6,0,1.49,2.5
79,6,-1,2.49,2.5
80,6,0,1.49,3.5
81,6,0,2.49,2.5
82,6,-1,0.49,2.5
83,6,1,0.49,1.5
84,6,1,2.49,1.5
85,6,0,1.49,2.5
86,6,0,2.49,2.5
87,6,0,1.49,1.5
88,6,-1,1.49,3.5
89,6,-1,1.49,2.5
90,6,1,2.49,3.5
91,6,-1,1.49,1.5
92,6,0,0.49,3.5
93,6,1,1.49,3.5
94,6,0,0.49,3.5
95,6,1,2.49,3.5
96,6,-1,0.49,3.5
97,6,0,2.49,2.5
98,6,1,2.49,2.5
99,6,-1,0.49,3.5
100,6,1,2.49,1.5
101,6,1,1.49,2.5
102,6,-1,2.49,3.5
103,6,-1,0.49,2.5
104,6,0,1.49,1.5
105,6,0,0.49,2.5
106,6,-1,1.49,3.5
107,6,0,0.49,1.5
108,6,-1,1.49,3.5
109,6,1,2.49,1.5
110,6,-1,2.49,3.5
111,6,-1,1.49,1.5
112,6,0,2.49,2.5
113,6,-1,2.49,2.5
114,6,-1,1.49,1.5
115,6,-1,0.49,3.5
116,6,0,0.49,3.5
117,6,1,1.49,3.5
118,6,1,1.49,2.5
119,6,0,2.49,3.5
120,6,0,1.49,3.5
121,6,1,2.49,3.5
122,6,-1,1.49,1.5
123,6,1,0.49,3.5
124,6,-1,1.49,2.5
125,6,0,0.49,2.5
126,6,-1,0.49,3.5
127,6,1,1.49,1.5
128,6,0,2.49,1.5
129,6,1,0.49,2.5
130,6,-1,2.49,1.5
131,6,0,1.49,3.5
132,6,1,0.49,2.5
133,6,0,2.49,1.5
134,6,1,1.49,1.5
0,7,-1,1.49,3.5
1,7,-1,0.49,2.5
2,7,0,2.49,3.5
3,7,1,0.49,1.5
4,7,-1,1.49,2.5
5,7,-1,0.49,2.5
6,7,0,0.49,3.5
7,7,0,0.49,1.5
8,7,1,1.49,1.5
9,7,1,1.49,3.5
10,7,-1,2.49,3.5
11,7,1,2.49,3.5
12,7,-1,2.49,3.5
13,7,-1,2.49,1.5
14,7,0,2.49,1.5
15,7,0,2.49,2.5
16,7,0,0.49,3.5
17,7,1,1.49,2.5
18,7,1,2.49,2.5
19,7,1,2.49,1.5
20,7,1,1.49,3.5
21,7,-1,0.49,1.5
22,7,-1,0.49,1.5
23,7,1,0.49,2.5
24,7,1,2.49,3.5
25,7,-1,1.49,3.5
26,7,0,2.49,1.5
27,7,-1,0.49,2.5
28,7,-1,2.49,3.5
29,7,1,1.49,2.5
30,7,0,2.49,1.5
31,7,0,2.49,1.5
32,7,-1,2.49,2.5
33,7,-1,1.49,3.5
34,7,1,2.49,1.5
35,7,1,0.49,2.5
36,7,1,0.49,1.5
37,7,-1,2.49,2.5
38,7,-1,1.49,2.5
39,7,0,1.49,2.5
40,7,0,0.49,2.5
41,7,-1,0.49,3.5
42,7,-1,2.49,1.5
43,7,-1,1.49,2.5
44,7,1,0.49,2.5
45,7,0,0.49,2.5
46,7,1,2.49,3.5
47,7,1,2.49,2.5
48,7,1,0.49,3.5
49,7,-1,1.49,2.5
50,7,0,2.49,2.5
51,7,1,1.49,1.5
52,7,-1,1.49,1.5
53,7,-1,1.49,1.5
54,7,1,2.49,1.5
55,7,0,1.49,1.5
56,7,0,2.49,3.5
57,7,-1,2.49,1.5
58,7,-1,0.49,1.5
59,7,0,0.49,3.5
60,7,1,0.49,2.5
61,7,0,0.49,2.5
62,7,1,2.49,1.5
63,7,0,1.49,1.5
64,7,0,2.49,2.5
65,7,-1,2.49,3.5
66,7,0,0.49,1.5
67,7,-1,2.49,2.5
68,7,1,2.49,3.5
69,7,0,1.49,3.5
70,7,-1,1.49,1.5
71,7,0,1.49,2.5
72,7,0,0.49,1.5
73,7,-1,0.49,3.5
74,7,0,0.49,3.5
75,7,0,0.49,2.5
76,7,1,1.49,1.5
77,7,-1,2.49,3.5
78,7,1,1.49,2.5
79,7,-1,0.49,3.5
80,7,1,1.49,3.5
81,7,-1,2.49,1.5
82,7,1,2.49,2.5
83,7,-1,2.49,2.5
84,7,0,1.49,1.5
85,7,1,0.49,3.5
86,7,0,0.49,3.5
87,7,0,0.49,1.5
88,7,1,0.49,1.5
89,7,-1,0.49,3.5
90,7,-1,0.49,1.5
91,7,1,0.49,3.5
92,7,1,1.49,1.5
93,7,0,2.49,1.5
94,7,-1,0.49,3.5
95,7,-1,2.49,1.5
96,7,1,1.49,3.5
97,7,0,1.49,1.5
98,7,0,2.49,3.5
99,7,1,0.49,2.5
100,7,1,2.49,1.5
101,7,-1,1.49,1.5
102,7,0,1.49,2.5
103,7,0,0.49,1.5
104,7,0,1.49,1.5
105,7,-1,1.49,1.5
106,7,1,2.49,2.5
107,7,1,0.49,1.5
108,7,1,1.49,1.5
109,7,1,0.49,3.5
110,7,1,1.49,2.5
111,7,0,0.49,2.5
112,7,0,1.49,2.5
113,7,1,0.49,1.5
114,7,0,1.49,3.5
115,7,-1,0.49,2.5
116,7,0,2.49,3.5
117,7,1,2.49,2.5
118,7,0,2.49,2.5
119,7,-1,1.49,3.5
120,7,1,0.49,3.5
121,7,0,1.49,3.5
122,7,0,2.49,2.5
123,7,1,1.49,3.5
124,7,-1,1.49,3.5
125,7,1,2.49,3.5
126,7,1,1.49,2.5
127,7,0,1.49,3.5
128,7,0,1.49,3.5
129,7,-1,0.49,1.5
130,7,0,1.49,2.5
131,7,0,2.49,3.5
132,7,-1,2.49,2.5
133,7,-1,1.49,2.5
134,7,-1,0.49,2.5
0,8,1,1.49,1.5
1,8,0,2.49,3.5
2,8,1,0.49,2.5
3,8,1,0.49,1.5
4,8,1,0.49,2.5
5,8,1,0.49,2.5
6,8,-1,1.49,2.5
7,8,0,2.49,1.5
8,8,-1,2.49,1.5
9,8,1,2.49,2.5
10,8,-1,2.49,3.5
11,8,1,0.49,3.5
12,8,1,2.49,1.5
13,8,1,2.49,2.5
14,8,0,0.49,1.5
15,8,-1,1.49,1.5
16,8,1,0.49,2.5
17,8,-1,1.49,2.5
18,8,1,1.49,3.5
19,8,-1,0.49,3.5
20,8,0,1.49,2.5
21,8,-1,0.49,1.5
22,8,-1,2.49,1.5
